"Mage_Customer::Thank you for registering with %s.","Vielen Dank für Ihre Registrierung im %s."
"Egovs_GermanTax::Tax","enthaltene <abbr title=""Mehrwertsteuer"">MwSt.</abbr>"
"Excl. %s Tax","zzgl. %s MwSt."
"Incl. %s Tax","inkl. %s MwSt."
