"The amount must be greather than 0","Der Betrag muss größer als 0 sein"
"Please insert an valid Amount.","Bitte geben Sie einen gültigen Preis an."
"Price is missing!","Es wurde kein gültiger Preis angegeben!"
"Price cannot be zero!","Preis darf nicht null sein!"
"Flexible Price","Flexibler Preis"
