"Enabled","Aktiviert"
"New order status","Stand der neuen Bestellung"
"Sort order","Sortierreihenfolge"
"You will be redirected to central paypage in a few seconds. If not, click next.","Sie werden in wenigen Sekunden zur Zentralen Paypage weitergeleitet, falls nicht drücken Sie bitte WEITER"
"Customer canceled Paypage Payment.","Zahlungsvorgang wurde auf Kundenwunsch abgebrochen"
"Customer successfully granted by Paypage","Zahlung des Kunden wurde von Paypage akzeptiert"
"Customer was redirected to Paypage.","Kunde wurde zu Paypage weitergeleitet."
"There was an error at Paypage payment. Customers payment was not valid.","Es ist ein Fehler währende der Paypage-Zahlung aufgetreten. Die Zahlung konnte nicht validiert werden."
